"","id","name","type","links","acronyms","established_year","created_date","city","city_id","state","ror"
"863","https://ror.org/02qhdd073","Aizawl Adventist Hospital","Healthcare","http://aadhos.com/about-us.html","",1996,"2018-11-14","Aizawl",1279186,"Mizoram","02qhdd073"
"864","https://ror.org/03h1e6k67","Trichur Heart Hospital","Healthcare","http://sunmedicalcentre.com/","",1992,"2018-11-14","Thrissur",1254187,"Kerala","03h1e6k67"
"865","https://ror.org/01c5r3056","Holy Spirit Hospital","Healthcare","http://www.holyspirithospital.org/","",1964,"2018-11-14","Mumbai",1275339,"Maharashtra","01c5r3056"
"866","https://ror.org/046vamx76","Tripura Medical College & Dr. B.R. Ambedkar Memorial Teaching Hospital","Education","http://tmc.nic.in/","TMC",2006,"2018-11-14","Agartala",1279290,"Tripura","046vamx76"
"867","https://ror.org/01cskd113","Al-Ameen Pre University College","Education","http://www.alameenpuc.org/","",2001,"2018-11-14","Bengaluru",1277333,"Karnataka","01cskd113"
"868","https://ror.org/04je37366","Indian Agricultural Universities Association","Other","http://www.iauaindia.org/","IAUA",1967,"2018-11-14","New Delhi",1261481,"Delhi","04je37366"
"869","https://ror.org/02e81hv64","Umrao Hospital","Healthcare","http://www.umraohospitals.com/","",2010,"2018-11-14","Mumbai",1275339,"Maharashtra","02e81hv64"
"870","https://ror.org/01tsqk383","Almas Hospital","Healthcare","http://www.almashospital.com/","",2000,"2018-11-14","Malappuram",1264154,"Kerala","01tsqk383"
"871","https://ror.org/01hj51r83","Universal Engineering College","Education","http://universalcollege.net/","",2011,"2018-11-14","Thrissur",1254187,"Kerala","01hj51r83"
"872","https://ror.org/033dx8j94","University B.D.T College of Engineering","Education","http://www.ubdtce.org/","",1951,"2018-11-14","Davangere",1273368,"Karnataka","033dx8j94"
"873","https://ror.org/03try1s84","Inlaks & Budhrani Hospital","Healthcare","http://www.inlaksbudhranihospital.com/","",1989,"2018-11-14","Pune",1259229,"Maharashtra","03try1s84"
"874","https://ror.org/04m55cb74","Anandalok Hospital","Healthcare","http://anandalokhospitalraniganj.com/","",2011,"2018-11-14","Kolkata",1275004,"West Bengal","04m55cb74"
"875","https://ror.org/02c5dz126","University B.T. & Evening College","Education","http://ubtec.org.in/","",1968,"2018-11-14","Koch Bihār",1266436,"West Bengal","02c5dz126"
"876","https://ror.org/00j3qc684","Ansal University","Education","http://www.ansaluniversity.edu.in/","AIT; AU",2012,"2018-11-14","Gurugram",1270642,"Haryana","00j3qc684"
"877","https://ror.org/02ny12416","University College for Women","Education","http://www.oucwkoti.ac.in/","OUCW",1924,"2018-11-14","Hyderabad",1269843,"Telangana","02ny12416"
"878","https://ror.org/02kdtt649","Islamic University of Science and Technology","Education","http://iustlive.com/","IUST",2005,"2018-11-14","Awantipur",1278103,"Jammu and Kashmir","02kdtt649"
"879","https://ror.org/02fhv9758","Antara","Healthcare","http://www.antaraglobal.org/","",1982,"2018-11-14","Kolkata",1275004,"West Bengal","02fhv9758"
