"","State","Year","HDI"
"340","Delhi",2014,0.719
"341","Delhi",2015,0.722
"342","Delhi",2016,0.727
"343","Delhi",2017,0.732
"344","Delhi",2018,0.729
"345","Delhi",2019,0.728
"346","Delhi",2020,0.728
"347","Delhi",2021,0.722
"348","Delhi",2022,0.734
"349","Delhi",2023,0.73525
"350","Delhi",2024,0.7365
"351","Goa",1990,0.558
"352","Goa",1991,0.561
"353","Goa",1992,0.567
"354","Goa",1993,0.57
"355","Goa",1994,0.573
"356","Goa",1995,0.577
"357","Goa",1996,0.583
"358","Goa",1997,0.587
"359","Goa",1998,0.592
"360","Goa",1999,0.599
"361","Goa",2000,0.608
"362","Goa",2001,0.615
"363","Goa",2002,0.624
"364","Goa",2003,0.641
"365","Goa",2004,0.653
"366","Goa",2005,0.665
"367","Goa",2006,0.678
"368","Goa",2007,0.692
"369","Goa",2008,0.704
"370","Goa",2009,0.713
"371","Goa",2010,0.728
"372","Goa",2011,0.747
"373","Goa",2012,0.759
"374","Goa",2013,0.753
"375","Goa",2014,0.751
"376","Goa",2015,0.746
"377","Goa",2016,0.743
"378","Goa",2017,0.751
"379","Goa",2018,0.751
"380","Goa",2019,0.753
"381","Goa",2020,0.754
"382","Goa",2021,0.747
"383","Goa",2022,0.76
"384","Goa",2023,0.76225
"385","Goa",2024,0.7645
"386","Gujarat",1990,0.474
"387","Gujarat",1991,0.477
"388","Gujarat",1992,0.483
"389","Gujarat",1993,0.485
"390","Gujarat",1994,0.488
"391","Gujarat",1995,0.492
"392","Gujarat",1996,0.498
"393","Gujarat",1997,0.502
"394","Gujarat",1998,0.507
"395","Gujarat",1999,0.514
"396","Gujarat",2000,0.52
"397","Gujarat",2001,0.526
"398","Gujarat",2002,0.533
"399","Gujarat",2003,0.547
"400","Gujarat",2004,0.556
"401","Gujarat",2005,0.566
"402","Gujarat",2006,0.577
"403","Gujarat",2007,0.583
"404","Gujarat",2008,0.587
"405","Gujarat",2009,0.589
"406","Gujarat",2010,0.597
"407","Gujarat",2011,0.608
"408","Gujarat",2012,0.614
"409","Gujarat",2013,0.622
"410","Gujarat",2014,0.634
"411","Gujarat",2015,0.643
"412","Gujarat",2016,0.656
"413","Gujarat",2017,0.654
"414","Gujarat",2018,0.645
"415","Gujarat",2019,0.64
"416","Gujarat",2020,0.64
"417","Gujarat",2021,0.635
"418","Gujarat",2022,0.646
"419","Gujarat",2023,0.64625
"420","Gujarat",2024,0.6465
"421","Haryana",1990,0.471
"422","Haryana",1991,0.474
"423","Haryana",1992,0.479
"424","Haryana",1993,0.485
"425","Haryana",1994,0.493
"426","Haryana",1995,0.501
"427","Haryana",1996,0.51
"428","Haryana",1997,0.518
"429","Haryana",1998,0.527
"430","Haryana",1999,0.537
"431","Haryana",2000,0.542
"432","Haryana",2001,0.546
"433","Haryana",2002,0.553
"434","Haryana",2003,0.566
"435","Haryana",2004,0.575
"436","Haryana",2005,0.584
"437","Haryana",2006,0.594
"438","Haryana",2007,0.603
"439","Haryana",2008,0.61
"440","Haryana",2009,0.615
"441","Haryana",2010,0.625
"442","Haryana",2011,0.639
"443","Haryana",2012,0.648
"444","Haryana",2013,0.656
"445","Haryana",2014,0.669
"446","Haryana",2015,0.678
"447","Haryana",2016,0.691
"448","Haryana",2017,0.694
"449","Haryana",2018,0.69
"450","Haryana",2019,0.689
"451","Haryana",2020,0.689
"452","Haryana",2021,0.683
"453","Haryana",2022,0.696
"454","Haryana",2023,0.6975
"455","Haryana",2024,0.699
"456","Himachal Pradesh",1990,0.485
"457","Himachal Pradesh",1991,0.488
"458","Himachal Pradesh",1992,0.493
"459","Himachal Pradesh",1993,0.503
"460","Himachal Pradesh",1994,0.514
"461","Himachal Pradesh",1995,0.525
"462","Himachal Pradesh",1996,0.538
"463","Himachal Pradesh",1997,0.549
"464","Himachal Pradesh",1998,0.562
"465","Himachal Pradesh",1999,0.575
"466","Himachal Pradesh",2000,0.583
"467","Himachal Pradesh",2001,0.589
"468","Himachal Pradesh",2002,0.598
"469","Himachal Pradesh",2003,0.615
"470","Himachal Pradesh",2004,0.626
"471","Himachal Pradesh",2005,0.638
"472","Himachal Pradesh",2006,0.65
"473","Himachal Pradesh",2007,0.653
"474","Himachal Pradesh",2008,0.654
"475","Himachal Pradesh",2009,0.653
"476","Himachal Pradesh",2010,0.658
"477","Himachal Pradesh",2011,0.667
"478","Himachal Pradesh",2012,0.67
"479","Himachal Pradesh",2013,0.677
"480","Himachal Pradesh",2014,0.688
"481","Himachal Pradesh",2015,0.696
"482","Himachal Pradesh",2016,0.707
"483","Himachal Pradesh",2017,0.712
"484","Himachal Pradesh",2018,0.709
"485","Himachal Pradesh",2019,0.709
"486","Himachal Pradesh",2020,0.709
"487","Himachal Pradesh",2021,0.703
"488","Himachal Pradesh",2022,0.715
"489","Himachal Pradesh",2023,0.7165
"490","Himachal Pradesh",2024,0.718
"491","Jammu and Kashmir",1990,0.499
"492","Jammu and Kashmir",1991,0.502
"493","Jammu and Kashmir",1992,0.507
"494","Jammu and Kashmir",1993,0.506
"495","Jammu and Kashmir",1994,0.506
"496","Jammu and Kashmir",1995,0.507
"497","Jammu and Kashmir",1996,0.509
"498","Jammu and Kashmir",1997,0.51
"499","Jammu and Kashmir",1998,0.511
"500","Jammu and Kashmir",1999,0.514
"501","Jammu and Kashmir",2000,0.522
"502","Jammu and Kashmir",2001,0.53
"503","Jammu and Kashmir",2002,0.539
"504","Jammu and Kashmir",2003,0.556
"505","Jammu and Kashmir",2004,0.568
"506","Jammu and Kashmir",2005,0.581
"507","Jammu and Kashmir",2006,0.593
"508","Jammu and Kashmir",2007,0.605
"509","Jammu and Kashmir",2008,0.614
"510","Jammu and Kashmir",2009,0.621
"511","Jammu and Kashmir",2010,0.633
"512","Jammu and Kashmir",2011,0.648
"513","Jammu and Kashmir",2012,0.658
"514","Jammu and Kashmir",2013,0.659
"515","Jammu and Kashmir",2014,0.665
"516","Jammu and Kashmir",2015,0.667
"517","Jammu and Kashmir",2016,0.672
"518","Jammu and Kashmir",2017,0.69
"519","Jammu and Kashmir",2018,0.7
"520","Jammu and Kashmir",2019,0.712
"521","Jammu and Kashmir",2020,0.712
"522","Jammu and Kashmir",2021,0.706
"523","Jammu and Kashmir",2022,0.72
"524","Jammu and Kashmir",2023,0.725
"525","Jammu and Kashmir",2024,0.73
"526","Jharkhand",1990,0.563
"527","Jharkhand",1991,0.566
"528","Jharkhand",1992,0.572
"529","Jharkhand",1993,0.566
"530","Jharkhand",1994,0.562
"531","Jharkhand",1995,0.559
